,Inputs,response,category
591,컨베이어 덮개 설치의무는 무엇인가요?,점검구에 덮개 등의 설치 의무가 있습니다.,기계 및 설비 안전
592,운반용 용기의 안전검사 제외 대상은 어떤 것인가요?,제품을 담아 판매하는 용기는 안전검사 대상에서 제외됩니다.,기계 및 설비 안전
593,이동식크레인 과부하방지장치 봉인은 어떻게 해야 하나요?,봉인은 물리적 방법으로 임의 조정이 불가능하도록 합니다.,기계 및 설비 안전
594,건설용 리프트의 안전검사 주기는 어떻게 되나요?,건설용 리프트는 건설현장 종료 후 일반작업용으로 전환 가능합니다.,기계 및 설비 안전
596,팽창탱크의 안전검사 합격 조건은 무엇인가요?,연결된 배관에 압력방출장치 설치 시 안전검사 기준에 적합할 수 있습니다.,기계 및 설비 안전
597,크레인의 안전인증 기준은 어떻게 되나요?,크레인은 제어기에서 손을 떼면 자동정지 기능을 갖추어야 합니다.,기계 및 설비 안전
598,강관 비계의 안전인증 기준이 강화될 필요가 있나요?,강관 비계는 설계 조건 위반 시 법적 문제가 발생할 수 있습니다.,기계 및 설비 안전
599,시스템 동바리용 부재의 인증이 필요한가요?,동일 제품의 호환성을 고려하여 안전인증 기준 개정이 검토될 수 있습니다.,기계 및 설비 안전
600,안전검사 주기는 어떻게 산정되나요?,검사일로부터 2년 이내에 검사받아야 합니다.,기계 및 설비 안전
602,산업용 로봇 자율안전확인신고 대상 제외 조건은 무엇인가요?,고정된 동작만 수행하는 경우에도 자율안전확인신고 대상에 해당됩니다.,기계 및 설비 안전
603,이동식 비계에 대한 법적 준수사항은 무엇인가요?,"이동식 비계의 부재는 안전인증 대상이며, 안전조치 규정이 있습니다.",기계 및 설비 안전
604,가설계단의 법적 기준은 어떻게 되나요?,가설계단은 안전조치 기준을 준수해야 합니다.,기계 및 설비 안전
605,이동식 랩핑기의 방호조치 기준은 무엇인가요?,"랩핑기의 덮개 설치가 충돌, 끼임 방지 기준에 적합해야 합니다.",기계 및 설비 안전
606,수격방지기가 안전인증 대상 압력용기에 해당되나요?,수격방지기는 안전인증 대상 압력용기 적용 범위에서 제외됩니다.,기계 및 설비 안전
607,수상안전모의 안전인증 여부는 무엇인가요?,수상안전모는 안전인증 대상이 아니므로 무방합니다.,기계 및 설비 안전
608,기중기가 차량계 건설기계에 해당하나요?,크롤러크레인은 차량계 건설기계에 해당될 수 있습니다.,기계 및 설비 안전
609,터널용 고소작업차에 대한 법적 적용은 어떻게 되나요?,작업 위치 이동 설비는 고소작업대로 분류됩니다.,기계 및 설비 안전
610,안전인증 정보가 없는 압력용기의 안전검사 방법은 무엇인가요?,안전인증 정보가 없는 경우 사용이 금지됩니다.,기계 및 설비 안전
611,의료기기 로봇이 자율안전확인신고 대상에 포함되나요?,의료기기는 의료기기법 준수가 필요합니다.,기계 및 설비 안전
612,우유생산업체에 설치된 식품기계가 자율안전확인신고 대상 혼합기인지 여부,자율안전확인신고 대상 식품혼합기는 '안전인증·자율안전확인신고의 절차에 관한 고시'에 의해 적용됨.,기계 및 설비 안전
615,전기회사에서 구성한 통합 제어반이 자율안전확인신고 주체인지 여부,통합 제어반만 제작 시 자율안전확인신고 주체가 아니지만 제조사는 포함 가능.,기계 및 설비 안전
616,수입품과 국산품을 통합 제어반으로 구성 시 신고 방법,수입 및 국산 통합 제어 시 각 품목에 대해 개별 신고 필요.,기계 및 설비 안전
618,자율안전확인신고 대상 컨베이어 시스템의 변경사항에 대한 신고 필요성,신고 당시와 다른 조건으로 제작 시 변경 신고 필요.,기계 및 설비 안전
619,3미터 초과 컨베이어 2대 연결 시 각각 신고 필요한지,3미터 초과 시 개별 신고 요구되나 통합 제어 시 조정 가능.,기계 및 설비 안전
620,컨베이어와 파쇄기의 통합 제어반을 하나로 구성 시 신고 절차,통합 제어반 사용 시에도 개별 제품 신고가 원칙.,기계 및 설비 안전
621,서스펜션 크레인의 달기구가 안전인증 대상인지 여부,달기구는 산업안전법 규정에 따라 안전인증 대상이 아님.,기계 및 설비 안전
622,지브형 크레인의 1.05배 과부하 발생 시 모션 제한 여부,과부하 방지를 위한 제한 동작으로 사용 권장되지 않음.,기계 및 설비 안전
623,톰슨프레스 및 센서커팅기가 안전인증 대상인지 여부,톰슨프레스는 별도 상·하 금형이 없어 인증 대상 아님.,기계 및 설비 안전
624,군에서 사용하는 이동식 크레인이 안전검사 대상인지 여부,군용 렉카차는 차량 견인용으로 안전검사 대상에서 제외됨.,기계 및 설비 안전
625,자동발취설비가 산업용 로봇에 해당하는지 여부,산업용 로봇에 해당하지 않으나 수송기계로는 해당 가능.,기계 및 설비 안전
626,석탄화력발전소 컨베이어에 안전펜스 설치 필요 여부,화력발전소 작업 시에는 울 대신 경고수단 설치 고려 가능.,기계 및 설비 안전
627,산업용 로봇의 자율안전확인신고 적용범위,로봇의 전용 제어기가 없는 경우에도 통합 소프트웨어로 관리 가능.,기계 및 설비 안전
628,H빔 인양 제품 사용 가능 여부,"학카 사용 가능하나, 규정된 안전계수 준수 필요.",기계 및 설비 안전
629,정격하중 초과 크레인 사용 시 안전규정 위반 여부,정격하중 초과 시 안전규정에 위배되므로 권장하지 않음.,기계 및 설비 안전
630,위험기계 기구 안전인증에 해당되는지 여부,위험기계는 고시에 따른 절차로 안전인증 필요.,기계 및 설비 안전
631,건설기계로 분류되는 장비의 고소작업대 해당 여부,고소작업대의 정의에 따라 차량계 건설기계로 분류 가능.,기계 및 설비 안전
632,산업용 로봇의 3축 메니퓰레이터 안전기준 적용 여부,3축 메니퓰레이터는 프로그램 가능 시 안전기준 적용됨.,기계 및 설비 안전
633,통합 제어반을 포함한 다수 컨베이어의 신고 필요 여부,제어반 구성 시 통합된 장치로의 신고 필요.,기계 및 설비 안전
634,공장용 크레인의 10미터 이상 구간 설치 안전검사 기준,10미터 이상 설치 시 안전검사 기준에 따라 검토 필요.,기계 및 설비 안전
635,2대 이상의 컨베이어 연동 사용 시 자율안전확인신고 필요성,컨베이어 연동 사용 시 자율안전확인신고 필요.,기계 및 설비 안전
636,자동발취설비가 3축 미만 로봇으로 신고 가능한지,3축 미만은 로봇 범주에 포함되지 않음.,기계 및 설비 안전
637,가설기자재의 안전인증 기준 및 사용 가능 여부,가설기자재는 안전인증 요건에 따라 사용 가능.,기계 및 설비 안전
638,컨베이어와 파쇄기의 개별 신고 필요 여부,컨베이어와 파쇄기는 개별 신고가 권장됨.,기계 및 설비 안전
639,산업용 로봇의 안전인증에 따른 형식별 검사 기준,산업용 로봇의 형식별 검사 기준을 준수해야 함.,기계 및 설비 안전
640,차량 견인 목적으로 사용되는 렉카차가 안전검사 대상인지,렉카차는 차량 견인 목적으로 안전검사 대상 아님.,기계 및 설비 안전
641,발전소 내 이동식 작업대가 안전인증 대상인지 여부,이동식 작업대는 안전인증 대상 곤돌라로 분류될 수 있음.,기계 및 설비 안전
686,수급업체에서 중대재해 발생 시 도급업체에 과태료를 부과할 수 있는지,산업안전보건법 시행령에 따라 중대재해가 발생한 사업장에 대해 위반행위가 고용노동부 장관 고시에 해당하는 경우 3차 이상 위반 시 금액으로 과태료를 부과할 수 있음.,도급 사업 관련
194,명예산업안전감독관 위촉 가능 여부,근로자 대표가 사업주의 의견을 들어 추천 가능함.,명예산업안전감독관 제도
195,근로자 대표가 추천한 명예산업안전감독관의 업무 범위,사업장에서 하는 자체 점검과 사업장 내 재해 예방 계획 수립 참여 가능.,명예산업안전감독관 제도
196,노조 전임자 중 명예산업안전감독관 위촉 가능 여부,노조 전임자 여부와 무관하게 명예산업안전감독관으로 추천 가능.,명예산업안전감독관 제도
197,타 사업장 명예산업안전감독관의 위촉 조건,근로자 대표가 추천하고 상시근로자가 50인 이상인 사업장이 위촉 가능 대상임.,명예산업안전감독관 제도
198,명예산업안전감독관의 도급 사업장 관여 가능 여부,도급 사업장의 명감 업무는 소속 사업장에만 한정됨.,명예산업안전감독관 제도
199,지방자치단체 명예산업안전감독관 위촉 방법,근로자 과반수 대표로부터 추천을 받아 사업주의 의견을 들어 위촉.,명예산업안전감독관 제도
683,법 위반사항이 있는 시설물을 인수받은 경우 법적 책임은 누구에게 있는지,"산업안전보건법상 안전조치 의무는 근로자를 사용하여 사업을 수행하는 사업주에게 있으며, 위반사항을 인지하지 못하고 인수하더라도 원칙적으로 책임이 있음.",발주자 책임
684,"설계 시점과 시공 시점의 법 기준이 다른 경우, 어느 시점의 기준을 따라야 하는지","법 적용 여부는 경과조치가 없다면 시공 당시의 법 기준을 적용함이 타당하며, 개정법이 기존법에 대한 신뢰를 현저히 침해하는 경우 개정법 적용 여부를 판단함.",발주자 책임
690,시설물을 인수할 때 법 위반사항을 인지했더라도 법적 책임이 면제되는지,"법 위반 인지 여부는 의무주체 판단에 영향을 미치지 않으며, 일부 감경 사유로 고려될 수 있음.",발주자 책임
9,컴퓨터 시스템 설치업무는 건설업으로 분류되나요?,"컴퓨터 시스템 설치업무는 건설업으로 분류되지 않지만, 통신배선공사를 수행할 경우 건설업 규정이 적용됩니다.",법 적용 대상자 구분
15,산학협력단은 어떤 업종으로 분류되나요?,산학협력단은 기타 전문 서비스업으로 분류됩니다.,법 적용 대상자 구분
16,사무직에 종사하는 근로자만을 사용하는 사업장은 어떤 규정을 받나요?,사무직만 근로하는 사업장은 일부 산업안전보건법 규정의 적용이 제외됩니다.,법 적용 대상자 구분
22,사무직 근로자와 외근 근로자의 구분 기준은 무엇인가요?,"외근 근로자는 사무직으로 간주하지 않으며, 근로 내용과 환경을 기준으로 구분합니다.",법 적용 대상자 구분
23,산학협력단이 산업안전보건법 적용을 받을 때 업종은 무엇인가요?,"산학협력단은 기타 전문 서비스업으로 분류되며, 관련 규정에 따라 적용을 받습니다.",법 적용 대상자 구분
32,산업안전보건법에서 사무직 근로자만을 사용하는 사업장은 무엇을 의미하나요?,사무직 근로자만 사용하는 사업장은 경영지원 업무에 종사하며 직접 산업 활동을 수행하지 않는 경우를 말합니다.,법 적용 대상자 구분
33,보험회사 대출업무 직원이 사무직에 해당하나요?,보험회사의 대출 업무 직원은 산업안전보건법상 사무직으로 분류되지 않습니다.,법 적용 대상자 구분
36,독립된 사업장으로 판단되는 기준은 무엇인가요?,"근로조건 결정, 인사 관리의 독립성 등으로 사업장 독립성을 판단합니다.",법 적용 대상자 구분
37,상시근로자 수를 기준으로 사업장 단위를 정하는 기준은 무엇인가요?,장소적 관념을 따라 장소적으로 분리된 경우 별개의 사업장으로 봅니다.,법 적용 대상자 구분
44,학습지 방문교육서비스 사업장의 업종은 무엇으로 판단되나요?,주된 사업이 교육서비스업으로 판단되어 일부 규정의 적용이 제외됩니다.,법 적용 대상자 구분
45,"산학협력단의 주요 업무가 연구개발일 경우, 업종은 무엇으로 판단되나요?",연구개발업으로 판단되어 산업안전보건법 적용을 받습니다.,법 적용 대상자 구분
46,산학협력단 소속 인력의 상시근로자 수 산정 기준은 어떻게 되나요?,산학협력단에서 근로를 제공하는 인력만을 기준으로 산정합니다.,법 적용 대상자 구분
47,산업안전보건법과 연구실안전법의 적용 관계는 어떻게 되나요?,"산업안전보건법은 모든 근로자를 보호하며, 연구실안전법과 함께 적용됩니다.",법 적용 대상자 구분
48,사무직 근로자만을 사용하는 사업장의 판단 기준은 무엇인가요?,"경영지원 및 통제 관리에 종사하고, 산업 활동을 수행하지 않는 경우를 의미합니다.",법 적용 대상자 구분
49,소프트웨어 개발 및 공급업에 대한 산업안전보건법의 적용 여부는?,소프트웨어 개발업은 일부 교육 관련 규정이 제외됩니다.,법 적용 대상자 구분
53,산업안전보건법의 사업장 업종은 무엇을 기준으로 결정하나요?,주된 산업활동을 기준으로 업종을 결정합니다.,법 적용 대상자 구분
55,산업안전보건법의 수급인 업종은 어떻게 결정되나요?,수급인의 업종은 주된 산업활동에 따라 결정됩니다.,법 적용 대상자 구분
56,사무직 근로자만을 사용하는 사업장은 어떤 경우에 해당하나요?,경영지원에 종사하며 산업활동을 직접 수행하지 않는 경우에 해당됩니다.,법 적용 대상자 구분
58,산학협력단의 상시근로자 수에 포함되는 근로자는 누구인가요?,산학협력단에서 실질적으로 근로를 제공하는 인력만 상시근로자 수에 포함됩니다.,법 적용 대상자 구분
59,사무직만 사용하는 사업장에서 현업업무에 해당하지 않는 예는?,직접 산업활동을 하지 않는 경우 경영지원업무만 수행하는 경우에 해당됩니다.,법 적용 대상자 구분
61,교육서비스업에서 현업업무 종사자는 어떤 기준으로 판단하나요?,"현업업무 종사자는 수업과 행정 업무와는 현저히 다른 형태의 업무로, 유해성이 큰 업무를 수행하는 자를 말합니다.",법 적용 대상자 구분
63,연구원이 연구장비를 운영하고 부수적으로 이를 관리하는 경우 현업업무 종사자인가요?,"연구장비 운영과 관리가 부수적인 경우, 현업업무 종사자로 보지 않습니다.",법 적용 대상자 구분
74,사무직 근로자만을 사용하는 사업장의 판단 기준은 무엇인가요?,사무직 근로자만을 사용하는 사업장은 직접 산업활동을 수행하지 않고 경영지원 업무를 수행하는 경우입니다.,법 적용 대상자 구분
81,공공기관의 연구원이 현업업무 종사자인지 어떻게 판단하나요?,"연구원이 연구장비 운영과 부수적인 관리 업무를 할 경우, 현업업무 종사자로 보지 않습니다.",법 적용 대상자 구분
87,연구개발업에 종사하는 근로자는 어떤 법규를 적용받나요?,연구개발업 근로자는 산업안전보건법에 따라 안전보건관리체제를 적용받습니다.,법 적용 대상자 구분
89,국가기관의 연구원이 현업업무 종사자로 분류될 수 있는 경우는 언제인가요?,연구원이 장비 유지관리 및 보수 업무를 주로 수행할 경우 현업업무 종사자로 분류됩니다.,법 적용 대상자 구분
91,비영리법인이 안전보건 이사회 보고 승인 대상인지 여부,비영리법인은 산업안전보건법 제14조의 이사회 보고 대상이 아님.,법 적용 대상자 구분
92,이사회를 운영하지 않는 경우 안전보건계획 승인 방법,상법에 따라 주식회사의 안전보건계획은 이사회의 승인 필요함.,법 적용 대상자 구분
93,파견근로자의 상시근로자 수 산정 기준,파견 근로자는 사용사업주의 상시근로자 수에 포함.,법 적용 대상자 구분
94,부동산 관리업체의 안전보건 관리체제 적용 여부,부동산업은 산업안전보건법의 모든 규정이 적용됨.,법 적용 대상자 구분
129,상시 근로자 산정 시 근로자 유형 포함 여부,"임시직, 일용직, 파견직 포함하여 상시 근로자 수 산정.",법 적용 대상자 구분
160,산업안전보건법상 상시근로자 수 산정 방법,근로기준법 시행령에 따라 상시 근로자 수는 한 달 기준으로 산정.,법 적용 대상자 구분
176,안전관리자 선임 시 상시근로자 수 산정 방법,도급사업에서 관계수급인의 근로자도 포함하여 상시근로자 수 산정.,법 적용 대상자 구분
200,비영리단체 안전보건관리자 지정 여부,안전보건관리자는 상시근로자 50인 이상인 비영리단체도 선임 필요.,법 적용 대상자 구분
210,사업장의 일부 부서가 분리된 경우 사업장 독립성 판단 기준,근로 양태와 노무 관리가 명확히 구분될 경우 별도 사업장으로 간주될 수 있음.,법 적용 대상자 구분
285,인접한 두 사업장의 통합 운영시 과태료 부과 여부,위험성 평가 미실시 된 업체는 500만원의 과태료가 부과됨.,법 적용 대상자 구분
484,산재 발생 위험이 있는 21개 장소의 구체적 범위,"프레스, 전단기 등 위험설비가 설치된 장소 외에 감전 위험이 있는 전기기계 기구가 있는 장소도 포함됨.",법 적용 대상자 구분
527,파견법 적용 여부와 작업 중지 지시 가능 여부,위험 상황 시 수급인 근로자에게 작업 중지 지시는 파견법에 저촉되지 않음.,법 적용 대상자 구분
543,공법 변경 시 고용노동부 장관 허가 필요 여부,산업안전보건법 상 공사기간 단축은 고용노동부 장관 허가 대상이 아님.,법 적용 대상자 구분
674,산업안전보건법이 노동관계 법령에 해당하는지,"근로기준법 제102조제5항에 따라 산업안전보건법은 노동관계법령에 해당하며, 근로감독관이 전담하여 수행함.",법 적용 대상자 구분
680,업무정지기간 중 홍보자료 배포 행위의 업무수행 여부,업무정지기간 중 건설업기초교육기관의 홍보자료 배포 행위는 업무수행으로 보지 않음.,법 적용 대상자 구분
681,현장실습생에 대한 특례 규정 대상 여부,"산업안전보건법 제166조의2는 직업교육훈련 촉진법에 따른 현장실습생을 대상으로 하며, 대학병원 실습 중인 의대생과 간호대생은 현장실습계약 여부에 따라 적용대상 여부가 결정됨.",법 적용 대상자 구분
685,양벌규정에 따른 처벌대상 행위자가 누구인지,양벌규정에 의해 사업주의 의사를 대표할 수 있는 대표이사나 실질적으로 사업장을 관리하는 자가 행위자로 간주됨.,법 적용 대상자 구분
687,학교에서 법 위반 시 과태료 부과 대상이 누구인지,"산업안전보건법상 지방자치단체는 산업재해조사표를 작성하여 제출할 의무가 있으며, 과태료 부과 대상은 지방자치단체임.",법 적용 대상자 구분
689,양벌규정 적용 시 행위자 결정 기준이 무엇인지,"실질적으로 사업을 관리하는 대표이사나 총괄 관리하는 자를 양벌규정 적용 행위자로 보며, 위임전결규정에 따라 하위 관리자에게 위임된 경우에도 대표 책임이 있음.",법 적용 대상자 구분
39,항만건설 작업선에서 발생한 사고에 대한 법적 책임은 어떻게 되나요?,선박안전법 적용으로 인해 산업안전보건법상 일부 규정은 적용되지 않습니다.,법적 책임 및 처벌
69,지방자치단체 사업장에서 중대산업재해 발생 시 처벌 대상은 누구인가요?,지방자치단체의 장이 중대산업재해 발생 시 의무 위반에 따른 처벌 대상이 됩니다.,법적 책임 및 처벌
71,공동도급 공사에서 중대재해 발생 시 책임 주체는 누구인가요?,공동도급 공동이행 방식에서는 주간사가 중대재해 책임 주체로 봅니다.,법적 책임 및 처벌
83,공동도급 공사에서 사망재해 발생 시 책임 주체는 누구인가요?,공동도급 공사에서 사망재해 발생 시 공사를 주관하는 주간사가 책임 주체입니다.,법적 책임 및 처벌
86,중대재해처벌법에서 사업체 전체 적용이 필요한 경우는 언제인가요?,사업장이 아닌 사업 전체가 유기적으로 운영되는 경우 중대재해처벌법을 적용합니다.,법적 책임 및 처벌
105,"중대재해처벌법의 경영책임자 등이 지방자치단체 장인 경우, 선임 기준 변화 여부",경영책임자 명시와 상관없이 안전보건관리책임자 선임 기준은 변동 없음.,법적 책임 및 처벌
343,집게차 사고 발생 시 법적 처벌 주체,사고 발생 시 사업주는 법적 책임이 있음.,법적 책임 및 처벌
374,대기배출시설 미신고 사업자 과태료 면제 가능 여부,유해위험방지계획서 제출 기한 미준수 시 과태료 면제 규정 없음.,법적 책임 및 처벌
382,중대재해 발생 시 보고 의무 위반 여부,사망을 알게 된 날 기준으로 지체없이 보고해야 하며 위반 시 과태료 부과 대상.,법적 책임 및 처벌
383,재해일과 사망일이 다른 경우 중대재해 발생보고 여부,사망 시점에서 중대재해에 해당하며 즉시 보고해야 함.,법적 책임 및 처벌
384,중대재해 발생 미보고 시 과태료 부과 기준,중대재해 발생 사실을 보고하지 않을 경우 과태료 부과됨.,법적 책임 및 처벌
385,요양 중 사망 시 중대재해 발생보고 시점,"산업재해로 사망 시 즉시 보고해야 하며, 다툼이 있을 경우 산재 여부 확정 시점 기준.",법적 책임 및 처벌
386,작업중지 명령 해제 조건,근로자 안전이 보장되면 작업중지 명령 해제 가능함.,법적 책임 및 처벌
388,산재 발생 시 보고대상이 되는 휴업일수의 범위,의사의 진단으로 3일 이상의 휴업이 필요한 경우 보고 대상임.,법적 책임 및 처벌
389,작업중지 명령의 해제 요건,위험 요인에 대한 안전 조치가 개선되면 해제 가능.,법적 책임 및 처벌
529,안전허가서 대리 승인 시 법적 책임,대리 승인 시 책임 주체는 실제 도급 계약 주체임.,법적 책임 및 처벌
544,이천 물류창고 화재 관련 건설면허 취소 여부,산업안전보건법 위반 시 건설면허 취소 등 제재 가능함.,법적 책임 및 처벌
545,공기단축 시 발주자와 원청의 책임,공기단축으로 위험한 작업환경 발생 시 법 위반 소지 있음.,법적 책임 및 처벌
561,미인증 제품 사용 시 원청업체도 책임이 있나요?,"원청 사용자는 미인증 제품 사용 시 관리 책임을 지며, 위반 시 처벌 대상이 됩니다.",법적 책임 및 처벌
582,안전검사 미수검 기계･기구 사용에 따른 과태료 부과 기준은 무엇인가요?,"법률상 의무가 동일하면 포괄하여 1개의 위반으로 판단되며, 다르면 각각 별개 위반행위로 판단합니다.",법적 책임 및 처벌
601,안전성능 인증 부적합에 따른 처벌은 무엇인가요?,"성능시험 부적합 시 처벌이 가능하며, 규정 위반에 해당합니다.",법적 책임 및 처벌
613,자율안전확인신고 대상 컨베이어 제작업체와 설치업체가 처벌 주체가 되는지 여부,"자율안전확인신고 미이행 시 제조사, 설치사 모두 처벌 대상에 포함됨.",법적 책임 및 처벌
614,자율안전확인신고의 동일형식 범위에 대한 규정 및 절차가 필요한지,자율안전확인신고는 신고 주체가 범위를 스스로 정하고 신고 가능함.,법적 책임 및 처벌
617,자율안전기준을 충족하지 않은 설비 사용 시 벌칙 조항,안전인증 미이행 시 1천만원 이하 벌금 및 추가 처벌 가능.,법적 책임 및 처벌
651,석면 해체작업 완료 후 잔재물 발견 시 처벌 여부,석면 해체 후 잔재물이 발견되면 작업기준 위반으로 처벌받을 수 있음.,법적 책임 및 처벌
27,소방시설 점검 근로자는 보호구 착용이 필요한가요?,소방시설 점검 근로자는 위험 요소가 있는 작업으로 보호구 착용이 필요합니다.,보호구 착용
254,안전모 착용 의무 대상 근로자는 누구인지,건설 현장 등 물체가 떨어질 위험이 있는 작업장에서는 근로자 모두 안전모를 착용해야 함.,보호구 착용
255,근로자가 업무 중 보호구 미착용 시 처벌 여부,"근로자가 보호구를 미착용할 경우 사업주는 보호구 착용을 강제해야 하며, 반복 위반 시 제재가 있을 수 있음.",보호구 착용
264,공사현장에서 근로자의 안전모 미착용 시 책임은 누구에게 있는지,근로자의 안전모 미착용 시 사업주는 이를 감독하지 않은 책임을 질 수 있음.,보호구 착용
265,공사 현장 입구에서 안전모 착용 의무가 있는지,공사 현장에 진입할 경우 안전모 착용은 기본적인 안전수칙으로 모든 인원이 착용해야 함.,보호구 착용
331,지게차 안전모 착용 여부,지게차 탑승 시 안전모 착용은 반드시 필요함.,보호구 착용
353,안전모 착용이 필수적인 작업 조건,물체 낙하 및 추락 위험이 있는 작업 시 안전모를 반드시 착용해야 함.,보호구 착용
355,생산직 근로자의 안전화 착용 예외 가능 여부,"안전화 착용에 대한 예외 규정은 없으며, 필요시 업무 전환 고려.",보호구 착용
356,개인 소유 보호구 착용 시 안전화 지급 의무 여부,개인 보호구 착용 시 관리자가 적합성 확인하면 지급 의무는 면제됨.,보호구 착용
357,방염복 착용이 필수적인 작업 조건,"감전 위험이 있는 작업 시 방염복 착용이 필수이며, 굴착작업 시에는 필수 아님.",보호구 착용
358,지중관로굴착 작업자의 보호구 착용 기준,"추락, 끼임 위험이 있는 작업 시 보호구 착용 의무가 발생함.",보호구 착용
378,안전모 착용 예외 기준,물체 낙하 위험이 있는 작업장에서 안전모 착용 필수.,보호구 착용
595,방진마스크의 사용 범위는 무엇인가요?,삼산화안티몬 함유 시 특급 방진마스크 사용이 바람직합니다.,보호구 착용
29,근로자의 건강진단 결과는 어디에 보관되나요?,"근로자의 건강진단 기록은 사업장에서 일정 기간 보관되며, 접근이 제한됩니다.",산업보건 의무
131,보건관리자가 없는 장소에서 일반의약품 비치 가능 여부,의사나 간호사인 보건관리자가 없는 장소에는 의약품 비치가 불가능함.,산업보건 의무
162,보건관리자 미배치 현장에서 안전관리자가 보건업무 수행 가능한지,보건관리자 선임규모 미만 건설현장에서는 안전관리자가 보건업무를 수행할 수 있음.,산업보건 의무
192,산업보건의 자격요건과 경험 포함 여부,직업환경의학 4년 이상 실무 경험자나 산업보건에 경험 있는 의사 포함 가능.,산업보건 의무
193,비영리법인도 산업보건의 선임 대상인지 여부,지방자치단체와 비영리법인은 영리를 목적으로 하지 않더라도 선임 대상임.,산업보건 의무
263,보건관리자 지정 기준은 무엇인지,"보건관리자는 근로자 수와 사업장의 유해물질 종류에 따라 지정해야 하며, 기준을 충족하지 않을 경우 벌금이 부과됨.",산업보건 의무
266,근로자의 건강진단 의무 대상 여부,"고위험 작업에 종사하는 근로자는 정기적인 건강진단을 받아야 하며, 이를 어길 시 사업주에게 벌금이 부과될 수 있음.",산업보건 의무
274,근로자의 건강진단 결과는 어디에서 확인할 수 있는지,"근로자는 사업장에서 제공하는 건강진단 결과를 확인할 수 있으며, 일정 기록은 보호받아야 함.",산업보건 의무
293,저산소 공간 출입 시 안전조치 의무,"산소 농도 18% 미만 장소는 밀폐공간으로 분류, 사전 안전조치 필요.",산업보건 의무
294,벌목작업 시 안전조치 책임 주체,수급인과 도급인 모두 산업안전보건법에 따라 책임 있음.,산업보건 의무
371,고객응대 근로자 보호를 위한 음성안내 생략 가능 여부,고객응대 근로자의 건강 장해 예방을 위해 음성안내는 생략 불가.,산업보건 의무
108,근로자대표의 산업안전보건위원회 회의 참여 기준,민주적 절차에 따라 근로자 대표를 선출하고 회의에 참여시켜야 함.,산업안전 보건위 구성
133,산업안전보건위원회 근로자대표 임기 보장 여부,근로자대표는 과반수 노동조합이 형성되더라도 임기 보장됨.,산업안전 보건위 구성
134,산업안전보건위원회 비대면 회의 가능 여부,코로나19 확산 시 비대면 회의 가능.,산업안전 보건위 구성
201,산업안전보건위원회 위원의 과다 구성 시 법 위반 여부,"위원 수 과다 구성은 과태료 대상은 아니며, 적정 인원으로 재구성 권고.",산업안전 보건위 구성
203,근로자위원을 지명할 때 직종별 비율을 반영해야 하는지,근로자 대표는 전체 근로자 의견이 반영되도록 직종별 비율을 고려하는 것이 바람직함.,산업안전 보건위 구성
204,산업안전보건위원회 근로자대표를 노사협의회 대표가 대신할 수 있는지,노사협의회 대표는 산업안전보건위원회의 근로자대표로 자동 대체될 수 없음.,산업안전 보건위 구성
206,지방자치단체에서 산업안전보건위원회 설치 필요성,근로자와 노무 관리가 독립적이면 지자체 내에도 산보위 설치 가능함.,산업안전 보건위 구성
209,교육청에서 산업안전보건위원회 구성 대상 인원,교육청의 현업종사 근로자는 산업안전보건위원회 근로자 대표의 대상에 포함됨.,산업안전 보건위 구성
211,산업안전보건위원회 근로자대표 임기 보장 여부,근로자대표는 과반수 노동조합이 형성되더라도 임기 보장됨.,산업안전 보건위 구성
212,근로자위원에 인사팀장 지명 가능 여부,사용자 성격이 있는 인사팀장은 근로자위원으로 지명 부적절.,산업안전 보건위 구성
213,산업안전보건위원회 비대면 회의 가능 여부,코로나19 확산 시 영상 또는 서면 회의 가능.,산업안전 보건위 구성
217,산보위 구성 시 교섭단위 별 운영 가능 여부,산업안전보건위원회는 교섭단위와 관계없이 하나로 운영됨.,산업안전 보건위 구성
218,산업안전보건위원회의 노사동수 불균형 시 과태료 여부,노사동수가 아닌 회의 참석 인원 불균형은 과태료 부과 대상 아님.,산업안전 보건위 구성
222,제주도와 양 행정시 산보위 운영 규정 작성 방법,각 행정시가 독립적 사업장으로 판단되면 별도 안전보건관리규정 작성 가능.,산업안전 보건위 구성
223,산보위 심의 의결 대상 여부,근로자 정원 및 배치기준이 근골격계질환 예방 목적이면 산보위 심의 가능.,산업안전 보건위 구성
225,산보위 구성 시 근로자대표 자격 기준,모회사의 노동조합원이 아닌 해당 사업장 소속 근로자여야 함.,산업안전 보건위 구성
227,산보위와 노사협의회 병행 운영 가능 여부,각 위원회 구성 절차 준수 시 동일한 시간에 병행 개최 가능.,산업안전 보건위 구성
228,산보위 위원 교체 관련 양성평등기본법 적용 여부,산업안전보건위원회는 양성평등기본법의 적용 대상 아님.,산업안전 보건위 구성
229,산보위 사용자위원 구성 시 부서장 포함 가능 여부,"해당 사업장의 대표자와 안전관리자, 보건관리자 등 포함 가능.",산업안전 보건위 구성
230,산보위 위원의 임기와 교체 가능 여부,"임기가 정해지지 않은 경우, 위원 교체 가능하며 임기가 정해져 있으면 보장됨.",산업안전 보건위 구성
